iter	RMSE
0	3200.512602
1	3075.729674
2	2953.604579
3	2837.216828
4	2722.938177
5	2614.224003
6	2508.090819
7	2406.558307
8	2308.645276
9	2217.832743
10	2129.859465
11	2048.235854
12	1967.547477
13	1888.374113
14	1815.956307
15	1747.400778
16	1678.312064
17	1611.665382
18	1549.366389
19	1489.986735
20	1431.512521
21	1377.530339
22	1325.165114
23	1275.897024
24	1228.407366
25	1181.118894
26	1136.130705
27	1095.346178
28	1055.449868
29	1016.839556
30	982.1477133
31	947.1992573
32	911.7113526
33	879.3547122
34	847.9477601
35	817.894883
36	789.6480504
37	761.8097753
38	735.6801632
39	709.1094834
40	685.1494994
41	660.5943508
42	637.9401815
43	617.122028
44	597.3299927
45	576.572572
46	557.7802223
47	539.6510435
48	524.3877101
49	508.8061858
50	493.1322873
51	476.8210265
52	462.7284814
53	449.4803661
54	436.8608026
55	423.6316966
56	412.0397358
57	400.1093469
58	388.496255
59	378.9615156
60	368.2905527
61	359.0009919
62	350.2259828
63	340.8504136
64	332.6610117
65	324.1782218
66	316.5517179
67	309.2685586
68	302.811009
69	296.2765594
70	290.4147017
71	284.7349692
72	279.0903512
73	273.5306322
74	268.3909633
75	264.2925662
76	259.7326882
77	255.4845191
78	251.3518895
79	247.4025191
80	244.2496756
81	241.3262376
82	237.8384765
83	235.1032408
84	231.9343841
85	228.8640617
86	226.5560401
87	224.0584819
88	221.6145007
89	219.1568396
90	216.9450444
91	215.0504694
92	213.3096461
93	211.5661638
94	209.9952293
95	208.3354777
96	206.8739724
97	205.4035173
98	204.3440205
99	203.2788774
100	202.0894319
101	201.0329228
102	199.6944879
103	198.8536486
104	197.8531347
105	196.9901358
106	196.1132664
107	195.274698
108	194.6549413
109	193.8431545
110	193.1244733
111	192.497544
112	191.7453821
113	191.0965426
114	190.5208782
115	189.9601999
116	189.4327252
117	188.6713612
118	187.9410768
119	187.307247
120	186.8282188
121	186.4026413
122	185.8838788
123	185.4656846
124	185.1237691
125	184.6606957
126	184.4224843
127	183.9890401
128	183.6426445
129	183.3094899
130	182.9751303
131	182.5918787
132	182.2038475
133	181.9013794
134	181.3706921
135	181.1797384
136	180.9711089
137	180.7024198
138	180.4089687
139	180.0523502
140	179.820744
141	179.4938587
142	179.2210034
143	178.8891671
144	178.5825045
145	178.2896825
146	177.9606132
147	177.7422347
148	177.4985556
149	177.1773514
150	176.9350033
151	176.6509239
152	176.4560281
153	176.2134511
154	175.8405238
155	175.494626
156	175.1638425
157	174.808981
158	174.4747536
159	174.0410104
160	173.9380219
161	173.7758332
162	173.3179817
163	173.0462371
164	172.7602766
165	172.609564
166	172.2434811
167	172.0059364
168	171.8277365
169	171.5376653
170	171.3107229
171	170.9602068
172	170.749374
173	170.6526603
174	170.4170567
175	170.1325731
176	169.8445738
177	169.5641651
178	169.2415218
179	169.1114641
180	168.775013
181	168.4894506
182	168.1603243
183	167.7647237
184	167.4463169
185	167.0516357
186	166.8194834
187	166.5680368
188	166.3477407
189	166.1602199
190	165.853591
191	165.6593267
192	165.5714675
193	165.2613884
194	164.9762018
195	164.6782306
196	164.4701278
197	164.219199
198	164.0575984
199	163.9587462
200	163.8294844
201	163.7366133
202	163.4960633
203	163.3158964
204	163.1009203
205	162.6865631
206	162.4194438
207	162.1229267
208	161.8519363
209	161.522222
210	161.4066796
211	161.0468592
212	160.860163
213	160.6026318
214	160.3225473
215	160.0610144
216	159.7863085
217	159.5368828
218	159.3129291
219	159.2248568
220	158.9482121
221	158.6102638
222	158.504525
223	158.2505424
224	157.9439389
225	157.6187029
226	157.2830429
227	157.191746
228	156.9477508
229	156.6762136
230	156.4893243
231	156.3914818
232	156.2656591
233	155.9508418
234	155.7259573
235	155.438069
236	155.2811677
237	154.9041901
238	154.6935096
239	154.4522987
240	154.2509601
241	154.0133473
242	153.764774
243	153.5698857
244	153.2883272
245	153.0166943
246	152.9251142
247	152.6839822
248	152.4112905
249	152.3375594
250	152.0428415
251	151.6468362
252	151.4910751
253	151.3179089
254	151.2364341
255	150.8379997
256	150.7426578
257	150.5197735
258	150.2781751
259	150.0788757
260	149.7846346
261	149.5147695
262	149.257144
263	149.1668811
264	148.8331691
265	148.5157465
266	148.3201832
267	148.1072461
268	147.8512172
269	147.6701823
270	147.4981628
271	147.3250426
272	147.2152437
273	147.0020679
274	146.7081858
275	146.4399843
276	146.261474
277	146.120866
278	146.051819
279	145.9788884
280	145.9097976
281	145.7457246
282	145.5044409
283	145.3253311
284	145.0800664
285	144.8296396
286	144.7627629
287	144.6058945
288	144.3834553
289	144.1115248
290	143.9171403
291	143.8709969
292	143.654988
293	143.4498803
294	143.3581128
295	143.163051
296	142.999461
297	142.8265106
298	142.6826204
299	142.5442108
300	142.3249618
301	142.1929446
302	142.1532932
303	141.9261441
304	141.6565261
305	141.5261541
